id	filename	md5	size	state
1c360680-f479-4eec-8aa5-0c1a13b75a42	422bcfbb-6d1b-4f54-b409-307bafee629e.rna_seq.augmented_star_gene_counts.tsv	9b64d3c0484c505e9a91746c67911d62	4250575	released
7a135d57-ce55-46bc-99d3-d7acf7c2751a	9d1c4e41-2ef6-4cac-98c0-e34dc8d01736.rna_seq.augmented_star_gene_counts.tsv	fd00459cd46bae560f675b85b89be3e4	4234433	released
a0e5df28-f34e-4fc8-8100-ea276c5956e4	062971ce-dde4-4ff0-b244-92424d9e93e0.rna_seq.augmented_star_gene_counts.tsv	52a20dbc88ef8ff5822ef488806ecbf0	4227802	released
996fc9a8-2cdd-4f23-a716-218aaa69df94	72165763-bcce-4215-a93b-ba13cbe45e5c.rna_seq.augmented_star_gene_counts.tsv	c3bfc765226adf6d224c7626011040fb	4234712	released
24d7be4b-6e28-466b-a6ee-a514b4d680cf	7a0ce15a-2955-4e6e-8f5f-bc9624312e39.rna_seq.augmented_star_gene_counts.tsv	04d78ffb1b7aaa28f731878e3244efdc	4245877	released
c9243cb6-96c1-4f80-bd43-cd62004ccd7f	c44dcded-8cb8-4c22-842a-0af00a5973e1.rna_seq.augmented_star_gene_counts.tsv	e452cdeff62974e0c3e83e282478638d	4220550	released
e90a09a9-b44c-448b-9287-bb502da3cca7	17e1dba9-e44e-4b35-87de-13a5cc4b07ce.rna_seq.augmented_star_gene_counts.tsv	7a1e82d73c263807833f7d68fd5d5750	4212727	released
78107a9d-4eea-4cc6-9aef-1915f35acf75	a823d041-3e57-4d67-a832-629efa235ce2.rna_seq.augmented_star_gene_counts.tsv	dada6bd09729f219acc5cc29a9a45e29	4236584	released
3a3344f6-76e1-43b7-9f23-591642400ae3	0cb88be8-91f9-48c3-95f3-02c667df71a5.rna_seq.augmented_star_gene_counts.tsv	c181c3f1d05a942b7801d7dade307577	4218130	released
73c3420a-f453-47f7-9d80-ad0ddc8e4000	1931e031-f7a9-4b2e-93e3-4db2788d2295.rna_seq.augmented_star_gene_counts.tsv	a623d13bb8c28a9dff74f0f1507f2fe6	4245469	released
a8c8404c-f376-4d3d-bf50-2e1aac8d3afc	2ee16d44-339f-48a1-bd11-f80b3e58d4d2.rna_seq.augmented_star_gene_counts.tsv	cd0392055c699f604755cd2caf7e4ba8	4232005	released
5efe8382-333c-4400-a24e-2dab54ec38b6	07533847-208b-41f3-949b-bc6c91a6c3f3.rna_seq.augmented_star_gene_counts.tsv	20a0b2f32cdc610efb8ffd1f6b44a6c0	4231458	released
41542898-f98a-4e0f-b4cf-e7153a39acb7	e585ef21-8c60-48c3-a6cb-fa685d0c6a7d.rna_seq.augmented_star_gene_counts.tsv	f2c3fa4f5ab9d44038daba5ea70eee9d	4234623	released
46602657-873c-4a6b-86e3-fb0f75eee3e2	72aa6a1e-b0af-4cbd-8e3f-178e70fd76a5.rna_seq.augmented_star_gene_counts.tsv	6da6520cfc5a5da0bafc1b4610968ca2	4216963	released
